0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
55816,443,6,14,0,0.01570615401634803,0.01570615401634803,0.014665184631318804,0.014665184631318804,0.0001239776611328125,0.0001239776611328125,0.05642080307006836,0.05642080307006836,0,0,313.7857142857143,0,581.0999641777196,0,54,0,1966,0,4393,0,0,0,0,0,0,0,0
55822,443,6,26,0,1.5021676349639892,1.5021676349639892,3.9691193483624936,3.9691193483624936,0.00012993812561035156,0.00012993812561035156,15.285308122634888,15.285308122634888,0,0,187.07692307692307,0,364.6586309958443,0,66,0,1966,0,4864,0,0,0,0,0,0,0,0
443,55794,6,9,0,0.025194883346557617,0.025194883346557617,0.03853077066131663,0.03853077066131663,0.0,0.0,0.11472916603088379,0.11472916603088379,0,0,720.2222222222222,0,837.3108778541214,0,66,0,2487,0,6482,0,0,0,0,0,0,0,0
443,55778,6,7,0,0.033976356188456215,0.033976356188456215,0.03904394791723286,0.03904394791723286,9.5367431640625e-07,9.5367431640625e-07,0.09577393531799316,0.09577393531799316,0,0,907.0,0,1141.806713690444,0,66,0,2866,0,6349,0,0,0,0,0,0,0,0
443,55816,6,9,0,0.02246612310409546,0.02246612310409546,0.0263693148372899,0.0263693148372899,9.5367431640625e-07,9.5367431640625e-07,0.08235001564025879,0.08235001564025879,0,0,720.1111111111111,0,1065.9514731965412,0,66,0,2866,0,6481,0,0,0,0,0,0,0,0
443,55806,6,7,0,0.030277331670125324,0.030277331670125324,0.040029372096831495,0.040029372096831495,9.5367431640625e-07,9.5367431640625e-07,0.11610293388366699,0.11610293388366699,0,0,908.5714285714286,0,1140.3535613562838,0,74,0,2866,0,6360,0,0,0,0,0,0,0,0
443,55822,6,22,0,1.7871057646615165,1.7871057646615165,4.280118512327214,4.280118512327214,0.0,0.0,15.286153078079224,15.286153078079224,0,0,370.3636363636364,0,619.0324228147243,0,66,0,2486,0,8148,0,0,0,0,0,0,0,0
443,55782,6,9,0,0.02472040057182312,0.02472040057182312,0.034473515511062126,0.034473515511062126,0.0,0.0,0.09727096557617188,0.09727096557617188,0,0,720.1111111111111,0,904.9415505304986,0,66,0,2866,0,6481,0,0,0,0,0,0,0,0
43135,53,17,2,0,0.0005040168762207031,0.0005040168762207031,0.0,0.0,0.0005040168762207031,0.0005040168762207031,0.0005040168762207031,0.0005040168762207031,0,0,88.0,0,0.0,0,88,0,88,0,176,0,0,0,0,0,0,0,0
53,43135,17,2,0,0.026093006134033203,0.026093006134033203,0.0,0.0,0.026093006134033203,0.026093006134033203,0.026093006134033203,0.026093006134033203,0,0,138.0,0,6.0,0,132,0,144,0,276,0,0,0,0,0,0,0,0
33364,443,17,12,0,0.0706586404280229,0.0706586404280229,0.0997333243644599,0.0997333243644599,0.00022912025451660156,0.00022912025451660156,0.374208927154541,0.374208927154541,0,0,394.0,0,519.7201169860563,0,89,0,1294,0,4728,0,0,0,0,0,0,0,0
53400,443,17,25,0,1.8100376228491466,1.8100376228491466,4.2177084140567604,4.2177084140567604,0.00017309188842773438,0.00017309188842773438,15.169963121414185,15.169963121414185,0,0,379.84,0,447.74597083614276,0,73,0,1294,0,9496,0,0,0,0,0,0,0,0
443,33364,17,23,0,0.06682199781591242,0.06682199781591242,0.16798256253406374,0.16798256253406374,0.0,0.0,0.7462508678436279,0.7462508678436279,0,0,843.8260869565217,0,479.8677944903533,0,84,0,1294,0,19408,0,0,0,0,0,0,0,0
